id,title,addr,lat,lng,created_at
pin_3,발포항 공원,전라남도 고흥군 도화면 발포리 547-45,34.484151,127.339904,2025-09-17T06:21:42.949386Z
pin_4,광양항 해양공원,전라남도 광양시 중동 1894,34.92067,127.693677,2025-09-17T06:21:43.291852Z
pin_5,완도 수목원,전라남도 완도군 군외면 초평1길 156,34.360664,126.664426,2025-09-17T06:21:43.639456Z
pin_6,청해포구촬영장,전라남도 완도군 완도읍 청해진서로 1161-8,34.324269,126.670664,2025-09-17T06:21:44.002741Z
pin_7,울돌목,전라남도 진도군 군내면 녹진리,34.572846,126.303312,2025-09-17T06:21:44.956738Z
pin_8,우수영국민관광지,전라남도 해남군 문내면 학동리 1021,34.572493,126.309503,2025-09-17T06:21:45.332623Z
pin_9,궁항 전라좌수영,전라북도 부안군 변산면 궁항영상길 91,35.609973,126.465986,2025-09-17T06:21:48.758445Z
tour_3492431_12769632_호텔락희광양,호텔락희 광양,전라남도 광양시 항만9로 97,34.9243132781,127.6963225031,2025-09-17T06:22:25.496461Z
tour_3492556_12769700_해마루호텔,해마루호텔,전라남도 광양시 항만9로 113,34.9255631495,127.696997412,2025-09-17T06:22:25.983058Z
tour_3492659_12769577_하버브릿지호텔,하버브릿지호텔,전라남도 광양시 항만12로 15,34.9265935679,127.695772493,2025-09-17T06:22:26.560045Z
